metric,value
bag_name,sim_20260311_144652
detection_rate_pct,21.0
dropout_max_sec,16.275
dropout_mean_sec,8.251
dropout_total_sec,132.02
flight_duration_sec,179.9
fps_mean,28.1
fps_min,0.0
mode_decay_pct,0.0
mode_detection_pct,21.0
mode_hold_pct,0.0
mode_kalman_pct,1.1
mode_pinn_pct,77.5
mode_zero_pct,0.4
num_dropouts,16
yaw_cmd_max_deg_s,57.3
yaw_cmd_mean_deg_s,13.3
yaw_cmd_std_deg_s,19.64
