metric,value
bag_name,flight_20260325_135137
detection_rate_pct,100.0
flight_duration_sec,107.7
fps_mean,360.5
fps_min,15.5
latency_max_ms,161.0
latency_mean_ms,58.8
latency_p50_ms,59.0
latency_p95_ms,61.5
latency_p99_ms,63.2
mode_decay_pct,0.0
mode_detection_pct,100.0
mode_hold_pct,0.0
mode_kalman_pct,0.0
mode_pinn_pct,0.0
mode_zero_pct,0.0
num_dropouts,0
yaw_cmd_max_deg_s,22.35
yaw_cmd_mean_deg_s,22.14
yaw_cmd_std_deg_s,0.09
