metric,value
bag_name,sim_20260309_134700
detection_rate_pct,22.9
dropout_max_sec,15.334
dropout_mean_sec,15.309
dropout_total_sec,61.24
flight_duration_sec,82.4
fps_mean,30.0
fps_min,30.0
mode_decay_pct,1.0
mode_detection_pct,22.9
mode_hold_pct,0.0
mode_kalman_pct,3.9
mode_pinn_pct,0.0
mode_zero_pct,72.1
num_dropouts,4
yaw_cmd_max_deg_s,57.3
yaw_cmd_mean_deg_s,10.84
yaw_cmd_std_deg_s,21.45
