metric,value
bag_name,flight_20260311_150627
detection_rate_pct,59.5
dropout_max_sec,7.977
dropout_mean_sec,0.555
dropout_total_sec,63.24
flight_duration_sec,182.3
fps_mean,422.6
fps_min,0.0
latency_max_ms,747.9
latency_mean_ms,233.7
latency_p50_ms,206.2
latency_p95_ms,558.2
latency_p99_ms,629.8
mode_decay_pct,4.1
mode_detection_pct,59.5
mode_hold_pct,5.6
mode_kalman_pct,10.2
mode_pinn_pct,11.7
mode_zero_pct,8.9
num_dropouts,114
yaw_cmd_max_deg_s,57.3
yaw_cmd_mean_deg_s,26.72
yaw_cmd_std_deg_s,29.84
