metric,value
bag_name,flight_20260311_145227
detection_rate_pct,100.0
dropout_max_sec,1.394
dropout_mean_sec,1.394
dropout_total_sec,1.39
flight_duration_sec,182.1
fps_mean,345.3
fps_min,0.0
latency_max_ms,840.4
latency_mean_ms,234.5
latency_p50_ms,199.0
latency_p95_ms,598.1
latency_p99_ms,726.0
mode_decay_pct,0.0
mode_detection_pct,100.0
mode_hold_pct,0.0
mode_kalman_pct,0.0
mode_pinn_pct,0.0
mode_zero_pct,0.0
num_dropouts,1
yaw_cmd_max_deg_s,7.53
yaw_cmd_mean_deg_s,7.36
yaw_cmd_std_deg_s,0.16
