metric,value
bag_name,sim_20260309_134843
detection_rate_pct,21.9
dropout_max_sec,16.267
dropout_mean_sec,8.317
dropout_total_sec,83.17
flight_duration_sec,107.2
fps_mean,30.0
fps_min,30.0
mode_decay_pct,1.3
mode_detection_pct,21.9
mode_hold_pct,0.0
mode_kalman_pct,8.6
mode_pinn_pct,0.0
mode_zero_pct,68.3
num_dropouts,10
yaw_cmd_max_deg_s,57.3
yaw_cmd_mean_deg_s,9.35
yaw_cmd_std_deg_s,19.34
